Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
лајсна-л-профил-15-15-жолта-fkda15,Лајсна Л-профил 15*15 жолта FKDA15,Лајсна Л-профил 15*15 жолта FKDA15<br>Шифра 10750,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,123.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-л-профил-20-20-жолта-fkda20,Лајсна Л-профил 20*20 жолта FKDA20,Лајсна Л-профил 20*20 жолта FKDA20<br>Шифра 10751,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,156.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-л-профил-20-20-мат-fkda20,Лајсна Л-профил 20*20 мат FKDA20,Лајсна Л-профил 20*20 мат FKDA20<br>Шифра 10210,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,156.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-л-профил-15-15-мат-fkda15,Лајсна Л-профил 15*15 мат FKDA15,Лајсна Л-профил 15*15 мат FKDA15<br>Шифра 10371,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,123.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-л-профил-10-10-жолта-fkda10,Лајсна Л-профил 10*10 жолта FKDA10,Лајсна Л-профил 10*10 жолта FKDA10<br>Шифра 10747,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,continue,manual,100.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-л-профил-10-10-мат-fkda10,Лајсна Л-профил 10*10 мат FKDA10,Лајсна Л-профил 10*10 мат FKDA10<br>Шифра 10746,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,100.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-2-нивоа-15-жолта-lkfa15,Лајсни 2-нивоа 15 жолта LKFA15,Лајсни 2-нивоа 15 жолта LKFA15<br>Шифра 10764,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,323.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-2-нивоа-15-мат-lkfa15,Лајсни 2-нивоа 15 мат LKFA15,Лајсни 2-нивоа 15 мат LKFA15<br>Шифра 10745,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,323.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-2-нивоа-10-жолта-lkfa10,Лајсни 2-нивоа 10 жолта LKFA10,Лајсни 2-нивоа 10 жолта LKFA10<br>Шифра 10659,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,267.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-2-нивоа-10-мат-lkfa10,Лајсни 2-нивоа 10 мат LKFA10,Лајсни 2-нивоа 10 мат LKFA10 <br>Шифра 10192,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,267.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-скали-ге-3822-мат-bk3822,Лајсна скали ГЕ 3822 мат BK3822,Лајсна скали ГЕ 3822 мат BK3822<br>Шифра 10189,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,318.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-скали-ге-30-мат-bk3030,Лајсна скали ГЕ 30 мат BK3030,<p>Лајсна скали ГЕ 30 мат BK3030<br>Шифра 10749</p>,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,352.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-скали-ге-25-жолта-bk2525,Лајсна скали ГЕ 25 жолта BK2525,Лајсна скали ГЕ 25 жолта BK2525 <br>Шифра 10763,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,318.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-скали-ге-25-мат-bk2525,Лајсна скали ГЕ 25 мат BK2525,<span>Лајсна скали ГЕ 25 мат BK2525</span><br>Шифра 10190,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,318.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-т-профил-30-жолта-gprt30,Лајсна Т-профил 30 жолта GPRT30,Лајсна Т-профил 30 жолта GPRT30<br>Шифра 10762,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,167.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-т-профил-30-мат-gprt30,Лајсна Т-профил 30 мат GPRT30,Лајсна Т-профил 30 мат GPRT30<br>Шифра 10743,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,167.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-т-профил-25-gprt25,Лајсна Т-профил 25 жолта GPRT25,Лајсна Т-профил 25 жолта GPRT25<br>Шифра 10761,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,160.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
